Nom,Prénom,Parti politique ou candidat indépendant,Nom-Co,Prénom-Co,Titre,Poste no
CHARTIER,Georges,Action Montréal - Équipe Gilbert Thibodeau,,,,"1,30"
DO,Anh Khoi,Transition Montréal - Équipe Craig Sauvé,,,,"1,30"
GOULET,Nathalie,Projet Montréal - Équipe Luc Rabouin,,,,"1,30"
LALANDE-CHURCH,Justine,Ensemble Montréal - Équipe Soraya,,,,"1,30"
NAKOUZI,Basile,Futur Montréal,,,,"1,30"
DOUILLARD,Alex,Action Montréal - Équipe Gilbert Thibodeau,,,,"1,40"
GIANNOU,Effie,Ensemble Montréal - Équipe Soraya,,,,"1,40"
GIRGIS,Raouf,Futur Montréal,,,,"1,40"
IGOROV,Metodi,Indépendant,,,,"1,40"
KABONGO,Anne-Marie,Projet Montréal - Équipe Luc Rabouin,,,,"1,40"
SHAKOUR,Marc,Transition Montréal - Équipe Craig Sauvé,,,,"1,40"
BEIS,Dimitrios (Jim),Ensemble Montréal - Équipe Soraya,,,,"10,00"
DANIEL,Rébecca Michaëlle,Projet Montréal - Équipe Luc Rabouin,,,,"10,00"
DIALLO,Madjou,Projet Montréal - Équipe Luc Rabouin,,,,"10,10"
LANGEVIN,Benoit,Ensemble Montréal - Équipe Soraya,,,,"10,10"
WILLIAMS,Zachary,Transition Montréal - Équipe Craig Sauvé,,,,"10,10"
CODÈRE,Joseph-Henri,Projet Montréal - Équipe Luc Rabouin,,,,"10,11"
LEROUX,Louise,Ensemble Montréal - Équipe Soraya,,,,"10,11"
MAGNUSSON,Mats,Transition Montréal - Équipe Craig Sauvé,,,,"10,11"
GREEN,Aaron,Transition Montréal - Équipe Craig Sauvé,,,,"10,20"
MOHSEN,Sophie,Ensemble Montréal - Équipe Soraya,,,,"10,20"
TOURÉ,Fadima,Projet Montréal - Équipe Luc Rabouin,,,,"10,20"
CODÈRE,Louis-Philippe,Projet Montréal - Équipe Luc Rabouin,,,,"10,21"
MCDONALD,Amy,Transition Montréal - Équipe Craig Sauvé,,,,"10,21"
TARAKJIAN,Chahi (Sharkie),Ensemble Montréal - Équipe Soraya,,,,"10,21"
BEAUDOIN,Jean,Ensemble Montréal - Équipe Soraya,,,,"11,00"
BOLDUC,Maggie,Transition Montréal - Équipe Craig Sauvé,,,,"11,00"
WONG,Cathy,Projet Montréal - Équipe Luc Rabouin,,,,"11,00"
PLOURDE,Marie,Projet Montréal - Équipe Luc Rabouin,,,,"11,10"
STRAPATSAS,Lemonia,Ensemble Montréal - Équipe Soraya,,,,"11,10"
VALENTE,Sonia,Action Montréal - Équipe Gilbert Thibodeau,,,,"11,10"
VAZQUEZ,Daniel,Transition Montréal - Équipe Craig Sauvé,,,,"11,10"
CORBEIL,Sébastien,Ensemble Montréal - Équipe Soraya,,,,"11,11"
M'BENGUE,Sarah,Futur Montréal,,,,"11,11"
PERRONE,Nathe,Transition Montréal - Équipe Craig Sauvé,,,,"11,11"
STERLIN,Marie,Projet Montréal - Équipe Luc Rabouin,,,,"11,11"
BERNIER,Jean-François,Transition Montréal - Équipe Craig Sauvé,,,,"11,20"
DAIGLE,Jocelyn Simon,Indépendant,,,,"11,20"
LACHAPELLE,Andréa,Action Montréal - Équipe Gilbert Thibodeau,,,,"11,20"
RABOUIN,Luc,Projet Montréal - Équipe Luc Rabouin,VILAIN,Maeva,Colistière,"11,20"
ROBERTON,Alexander,Ensemble Montréal - Équipe Soraya,,,,"11,20"
ANTONIN,Pascal,Action Montréal - Équipe Gilbert Thibodeau,,,,"11,21"
GAO,Charles,Transition Montréal - Équipe Craig Sauvé,,,,"11,21"
LAURIER,Isabelle,Ensemble Montréal - Équipe Soraya,,,,"11,21"
M'BENGUE,Isabelle,Futur Montréal,,,,"11,21"
PARENT,Laurence,Projet Montréal - Équipe Luc Rabouin,,,,"11,21"
BARNEA,Shirley,Transition Montréal - Équipe Craig Sauvé,,,,"11,30"
FRADETTE,Robert,Indépendant,,,,"11,30"
NORRIS,Alex,Projet Montréal - Équipe Luc Rabouin,,,,"11,30"
SANTOS,Lucilia,Ensemble Montréal - Équipe Soraya,,,,"11,30"
BARRY,Nicole,Futur Montréal,,,,"11,31"
FORTIN,Gabriel,Projet Montréal - Équipe Luc Rabouin,,,,"11,31"
HOULE,Gabriel,Action Montréal - Équipe Gilbert Thibodeau,,,,"11,31"
JOANNETTE,Sébastien,Ensemble Montréal - Équipe Soraya,,,,"11,31"
STEPHEN-ONG,Vincent,Transition Montréal - Équipe Craig Sauvé,,,,"11,31"
ANGIULI,Dora,Action Montréal - Équipe Gilbert Thibodeau,,,,"12,00"
BOURGEOIS,Caroline,Projet Montréal - Équipe Luc Rabouin,,,,"12,00"
CHIRHALWIRWA,Jaël Régine,Futur Montréal,,,,"12,00"
PELLETIER,Denis,Ensemble Montréal - Équipe Soraya,,,,"12,00"
CHRISTENSEN,Lisa,Projet Montréal - Équipe Luc Rabouin,,,,"12,10"
GALATI,Rachel,Action Montréal - Équipe Gilbert Thibodeau,,,,"12,10"
LUBIN,Fleurence,Futur Montréal,,,,"12,10"
VARELA,Diana,Ensemble Montréal - Équipe Soraya,,,,"12,10"
CHANDONNET,Louis,Action Montréal - Équipe Gilbert Thibodeau,,,,"12,11"
COLIN,Daphney,Projet Montréal - Équipe Luc Rabouin,,,,"12,11"
GUARRAGGI,Gerlando,Ensemble Montréal - Équipe Soraya,,,,"12,11"
LABRECQUE,Michel,Futur Montréal,,,,"12,11"
AGOH,Jean-François,Futur Montréal,,,,"12,20"
JOURNEAU,Virginie,Projet Montréal - Équipe Luc Rabouin,,,,"12,20"
MATHIEU,Mildred,Action Montréal - Équipe Gilbert Thibodeau,,,,"12,20"
ROUSSEAU-BÉLANGER,Gabrielle,Ensemble Montréal - Équipe Soraya,,,,"12,20"
BARIL,Marie-Claude,Projet Montréal - Équipe Luc Rabouin,,,,"12,21"
DUPUIS,Laurie,Ensemble Montréal - Équipe Soraya,,,,"12,21"
HALLOULI,Ahmed,Indépendant,,,,"12,21"
SÉGUIN,Marie-Claude,Action Montréal - Équipe Gilbert Thibodeau,,,,"12,21"
YAO,Konan Kan Dally,Futur Montréal,,,,"12,21"
PAGLIA,Joseph,Projet Montréal - Équipe Luc Rabouin,,,,"12,30"
PITOSCIA,Antonio,Action Montréal - Équipe Gilbert Thibodeau,,,,"12,30"
RAPANÀ,Giovanni,Ensemble Montréal - Équipe Soraya,,,,"12,30"
ST. JAMES,Jordan,Transition Montréal - Équipe Craig Sauvé,,,,"12,30"
VOLTAIRE,Steve,Futur Montréal,,,,"12,30"
KOUDJOU,Flore,Futur Montréal,,,,"12,31"
PIERRE-ANTOINE,Nathalie,Ensemble Montréal - Équipe Soraya,,,,"12,31"
PIERRE,Johnley,Projet Montréal - Équipe Luc Rabouin,,,,"12,31"
SCANZANO,Nadia,Action Montréal - Équipe Gilbert Thibodeau,,,,"12,31"
CORBIN,Luc,Transition Montréal - Équipe Craig Sauvé,,,,"13,00"
COSTA,Joao,Action Montréal - Équipe Gilbert Thibodeau,,,,"13,00"
LIMOGES,François,Projet Montréal - Équipe Luc Rabouin,,,,"13,00"
O'CONNOR,Sandra,Ensemble Montréal - Équipe Soraya,,,,"13,00"
AÏSSI,Yaya Marie-Thérèse,Futur Montréal,,,,"13,10"
BLANCO,Josefina,Projet Montréal - Équipe Luc Rabouin,,,,"13,10"
DUBOIS,Simon,Transition Montréal - Équipe Craig Sauvé,,,,"13,10"
RECINE,Luciano,Ensemble Montréal - Équipe Soraya,,,,"13,10"
ALNEUS,Ericka,Projet Montréal - Équipe Luc Rabouin,,,,"13,20"
BEAUCHAMP,Manouane,Transition Montréal - Équipe Craig Sauvé,,,,"13,20"
CHARLES,Sabine,Futur Montréal,,,,"13,20"
DELOUME,Rémy,Ensemble Montréal - Équipe Soraya,,,,"13,20"
GAUTHIER,Brigitte,Action Montréal - Équipe Gilbert Thibodeau,,,,"13,20"
AGOH,N'Dri Anker,Futur Montréal,,,,"13,30"
CORRIVEAU,Pascale,Transition Montréal - Équipe Craig Sauvé,,,,"13,30"
DEMERS-DUBÉ,Olivier,Projet Montréal - Équipe Luc Rabouin,,,,"13,30"
PINTAL,Lorraine,Ensemble Montréal - Équipe Soraya,,,,"13,30"
NIANGORAN,Raïssa Marlène,Futur Montréal,,,,"13,40"
PAUZÉ,Jocelyn,Projet Montréal - Équipe Luc Rabouin,,,,"13,40"
