Nom,Prénom,Parti politique ou candidat indépendant,Nom-Co,Prénom-Co,Titre,Poste no
CAVEZZALI,Nathalie,Ensemble Montréal - Équipe Soraya,,,,"17,21"
LAMASANU,Stefana,Projet Montréal - Équipe Luc Rabouin,,,,"17,21"
WHELTON,Laura,Transition Montréal - Équipe Craig Sauvé,,,,"17,21"
DUSSAULT,André,Ensemble Montréal - Équipe Soraya,,,,"17,22"
GRATTON,Benoit,Projet Montréal - Équipe Luc Rabouin,,,,"17,22"
PELLETIER,François,Transition Montréal - Équipe Craig Sauvé,,,,"17,22"
BOUCHARD,Maryse,Projet Montréal - Équipe Luc Rabouin,,,,"18,10"
,Danso,Transition Montréal - Équipe Craig Sauvé,,,,"18,10"
LA ROSA,Cosimo,Futur Montréal,,,,"18,10"
ROBERTS,Leslie,Ensemble Montréal - Équipe Soraya,,,,"18,10"
BEAUDRY,Robert,Projet Montréal - Équipe Luc Rabouin,,,,"18,20"
DA SILVA,Sergio,Transition Montréal - Équipe Craig Sauvé,,,,"18,20"
GUIDO,Pierre,Action Montréal - Équipe Gilbert Thibodeau,,,,"18,20"
KHOUZAM,Jean-Pierre,Futur Montréal,,,,"18,20"
PINARD,Claude,Ensemble Montréal - Équipe Soraya,,,,"18,20"
DHIR,Anurag,Transition Montréal - Équipe Craig Sauvé,,,,"18,30"
JODY,Clint,Action Montréal - Équipe Gilbert Thibodeau,,,,"18,30"
KACOU,Jean-François,Futur Montréal,JEAN,Kathlen,Colistière,"18,30"
MCCRAY,Christopher,Projet Montréal - Équipe Luc Rabouin,,,,"18,30"
VAUDRIN,Daniel,Ensemble Montréal - Équipe Soraya,,,,"18,30"
ALLEN,Eric Jr,Action Montréal - Équipe Gilbert Thibodeau,,,,"19,00"
GARIÉPY,Sylvain,Ensemble Montréal - Équipe Soraya,,,,"19,00"
LALONDE,Jean François,Projet Montréal - Équipe Luc Rabouin,,,,"19,00"
RENORD,Nounthia,Futur Montréal,,,,"19,00"
CORVIL,Josué,Ensemble Montréal - Équipe Soraya,,,,"19,10"
GUILLEMETTE,René-André,Action Montréal - Équipe Gilbert Thibodeau,,,,"19,10"
JACQUELIN,John Deave,Futur Montréal,,,,"19,10"
LOUISSAINT,Jason,Transition Montréal - Équipe Craig Sauvé,,,,"19,10"
MAAZAMI,Mohamed,Projet Montréal - Équipe Luc Rabouin,,,,"19,10"
LEVASSEUR,Hugo,Action Montréal - Équipe Gilbert Thibodeau,,,,"19,20"
MEHENNEK,Naïma,Transition Montréal - Équipe Craig Sauvé,,,,"19,20"
OUELLET,Sylvain,Projet Montréal - Équipe Luc Rabouin,,,,"19,20"
RIZQY,Omaïma,Ensemble Montréal - Équipe Soraya,,,,"19,20"
VALLS-PIETRACUPA,Julian,Futur Montréal,,,,"19,20"
COSTA,Emanuel,Action Montréal - Équipe Gilbert Thibodeau,,,,"19,30"
CÔTÉ,Antoine,Transition Montréal - Équipe Craig Sauvé,,,,"19,30"
MUSAU MUELE,Martine,Projet Montréal - Équipe Luc Rabouin,,,,"19,30"
NADEAU,Ariane,Ensemble Montréal - Équipe Soraya,,,,"19,30"
REYES,José,Futur Montréal,,,,"19,30"
BEN KIRANE,Mostafa,Indépendant,,,,"19,40"
CARHUALLANQUI,Elvira,Projet Montréal - Équipe Luc Rabouin,,,,"19,40"
COSTA,Sandrina,Action Montréal - Équipe Gilbert Thibodeau,,,,"19,40"
DEROS,Mary,Ensemble Montréal - Équipe Soraya,,,,"19,40"
KHAN,Abdul Raziq,Transition Montréal - Équipe Craig Sauvé,,,,"19,40"
YOUSUF,Mohammad,Futur Montréal,,,,"19,40"
ALMEIDA ACUNA,Ernesto,Action Montréal - Équipe Gilbert Thibodeau,,,,"2,00"
DE LAURIÈRE,David,Transition Montréal - Équipe Craig Sauvé,,,,"2,00"
MEGELAS,Alex,Projet Montréal - Équipe Luc Rabouin,,,,"2,00"
MIRANDA,Luis,Équipe Anjou,,,,"2,00"
BLANCO CHAMBRO,Gelen,Action Montréal - Équipe Gilbert Thibodeau,,,,"2,01"
HÉNAULT,Andrée,Équipe Anjou,,,,"2,01"
SABIN,Jean Louis,Projet Montréal - Équipe Luc Rabouin,,,,"2,01"
CLOUTIER,Mélissa,Projet Montréal - Équipe Luc Rabouin,,,,"2,10"
DUBÉ,Marie Josée,Équipe Anjou,,,,"2,10"
ETHIER,Beatrice,Action Montréal - Équipe Gilbert Thibodeau,,,,"2,10"
GASPARD,Janny,Projet Montréal - Équipe Luc Rabouin,,,,"2,20"
HERNANDEZ VIERA-MONTES DE OCA,Claudia,Action Montréal - Équipe Gilbert Thibodeau,,,,"2,20"
LEBLANC,Richard,Équipe Anjou,,,,"2,20"
NOLIN,Camille,Transition Montréal - Équipe Craig Sauvé,,,,"2,20"
GOUIN,Philippe,Action Montréal - Équipe Gilbert Thibodeau,,,,"2,30"
MARSOLAIS,Kristine,Équipe Anjou,,,,"2,30"
OUENDI,Smail,Projet Montréal - Équipe Luc Rabouin,,,,"2,30"
KATAHWA,Gracia Kasoki,Projet Montréal - Équipe Luc Rabouin,,,,"3,00"
MCDONALD,Guy,Action Montréal - Équipe Gilbert Thibodeau,,,,"3,00"
MOUSA,Gulnar,Futur Montréal,,,,"3,00"
ORSOVY,Marek,Transition Montréal - Équipe Craig Sauvé,,,,"3,00"
VALENZUELA,Stéphanie,Ensemble Montréal - Équipe Soraya,,,,"3,00"
CHÉNIER-JONES,Nora,Projet Montréal - Équipe Luc Rabouin,,,,"3,10"
DESMAREST,Marie-Christine,Action Montréal - Équipe Gilbert Thibodeau,,,,"3,10"
DIAZ,Miguel-Angel,Transition Montréal - Équipe Craig Sauvé,,,,"3,10"
OPENDO,Glenn,Futur Montréal,,,,"3,10"
THIAGARAJAH,Milany,Ensemble Montréal - Équipe Soraya,,,,"3,10"
BRIÈRE,Emilie,Projet Montréal - Équipe Luc Rabouin,,,,"3,20"
HOYTE,Carol-Ann,Transition Montréal - Équipe Craig Sauvé,,,,"3,20"
JEGATHEESWARAN,Kamala,Indépendant,,,,"3,20"
NGUYEN,Yvonne,Ensemble Montréal - Équipe Soraya,,,,"3,20"
NOVICK,Stefani,Futur Montréal,,,,"3,20"
